T_K,status,rho_l_molm3,rho_v_molm3,p_Pa,h_l_Jmol,h_v_Jmol,r_P,r_mu,iterations,fallback_used,notes
271.1758793969849,CONVERGED,3574.672881484331,858.241791557526,1192481.5798661944,36682.261158872134,41769.06620288178,0.0,4.033805289997491e-16,6,False,attempt=1; line-search rejected step
271.8391959798995,CONVERGED,3560.7627878702333,871.1575860313669,1206539.5492965356,36808.09550624544,41804.449361447485,1.9297390109559186e-16,8.047924751161806e-16,7,False,attempt=1; line-search rejected step
272.50251256281405,CONVERGED,3547.3581281959705,884.1410880463966,1220598.460652999,36937.318757364854,41840.038071902956,3.815024369755624e-16,2.0070836898781498e-15,7,False,attempt=1; line-search rejected step
273.16582914572865,CONVERGED,3534.599709047959,897.1629195744277,1234642.200453722,37070.44836513052,41875.91768993834,0.0,4.0044199534478393e-16,7,False,attempt=1; line-search rejected step
273.8291457286432,CONVERGED,3522.6544738902758,910.1861445789913,1248651.7025747388,37208.07652958262,41912.19282775028,2.796984657616323e-15,7.98943950192412e-16,5,False,attempt=1; line-search rejected step
274.4924623115578,CONVERGED,3511.7182716119287,923.1647757704956,1262604.453045261,37350.884382994394,41948.99087251138,0.0,0.0,11,False,attempt=1; line-search rejected step
275.15577889447235,CONVERGED,3502.0179690795057,936.042077462786,1276473.9211671315,37499.661521178525,41986.46591144825,1.8240141047377074e-16,0.0,8,False,attempt=1; line-search rejected step
275.81909547738695,CONVERGED,3493.8123639829246,948.7486733903263,1290228.9057905553,37655.33255892652,42024.80301308377,1.8045684964034232e-16,7.931798158775126e-16,11,False,attempt=1; line-search rejected step
276.4824120603015,CONVERGED,3487.3911359956824,961.2004938948224,1303832.7856156118,37818.99234224839,42064.22274652977,7.142960239151752e-16,1.1869153144461536e-15,5,False,attempt=1; line-search rejected step
277.1457286432161,CONVERGED,3483.0708099203325,973.2966389876071,1317242.6652787388,37991.950950749975,42104.98571353653,1.060536451442381e-15,2.368149136960667e-15,5,False,attempt=1; line-search rejected step
277.80904522613065,CONVERGED,3481.1864262254658,984.9172996484353,1330408.417271386,38175.78834694891,42147.39670565745,3.500137861896513e-16,0.0,6,False,attempt=1; line-search rejected step
